City,2019estimate,2016 population density,lantitude,longitude
Springfield,114230,1925.0,39.7911,89.6446
Meridian,114161,3584.0,43.6142,116.3989
Westminster,113166,3592.0,39.8822,105.0644
Costa Mesa,113003,7186.0,33.6659,117.9123
High Point,112791,2015.0,35.99,79.9905
Manchester,112673,3339.0,42.9849,71.4441
Pueblo,112361,2058.0,38.2699,104.6123
Lakeland,112136,1615.0,28.0555,81.9549
Pompano Beach,112118,4558.0,26.2416,80.1339
West Palm Beach,111955,1963.0,26.7464,80.1251
Antioch,111502,3772.0,37.9791,121.7962
Everett,111475,3275.0,47.9566,122.1914
Downey,111126,9134.0,33.9382,118.1309
Lowell,110997,8129.0,42.639,71.3211
Centennial,110937,3727.0,39.5906,104.8691
Elgin,110849,2998.0,42.0396,88.3217
Richmond,110567,3648.0,37.9523,122.3606
Peoria,110417,2371.0,40.7515,89.6174
Broken Arrow,110198,1741.0,36.0365,95.781
Miami Gardens,110001,6212.0,25.9489,80.2436
Billings,109577,2525.0,45.7885,108.5499
Jurupa Valley,109527,2414.0,34.0026,117.4676
Sandy Springs,109452,2804.0,33.9315,84.3687
Gresham,109381,4786.0,45.5023,122.4416
Lewisville,109212,2852.0,33.0466,96.9818
Hillsboro,109128,4207.0,45.528,122.9357
Ventura,109106,5027.0,34.2678,119.2542
Greeley,108649,2176.0,40.4153,104.7697
Inglewood,108151,12160.0,33.9561,118.3443
Waterbury,107568,3799.0,41.5585,73.0367
League City,107536,1992.0,29.4901,95.1091
Santa Maria,107263,4662.0,34.9332,120.4438
Tyler,106985,1852.0,32.3173,95.3059
Davie,106306,2919.0,26.0791,80.285
Lakewood,106300,4079.0,40.0771,74.2004
Daly City,106280,14009.0,37.7009,122.465
Boulder,105673,4358.0,40.027,105.2519
Allen,105623,3715.0,33.0997,96.6631
West Covina,105101,6740.0,34.0559,117.9099
Sparks,105006,2810.0,39.5544,119.7356
Wichita Falls,104683,1450.0,33.9067,98.5259
Green Bay,104578,2316.0,44.5207,87.9842
San Mateo,104430,8592.0,37.5603,122.3106
Norwalk,103949,10946.0,33.9076,118.0835
Rialto,103526,4633.0,34.1118,117.3883
Las Cruces,103432,1323.0,32.3264,106.7897
Chico,103301,3102.0,39.74,121.8356
El Cajon,102708,7156.0,32.8017,116.9604
Burbank,102511,6003.0,34.1901,118.3264
South Bend,102026,2457.0,41.6769,86.269
Renton,101751,4314.0,47.4761,122.192
Vista,101638,5436.0,33.1895,117.2386
Davenport,101590,1631.0,41.5541,90.604
Edinburg,101170,2691.0,26.3042,98.1639
Tuscaloosa,101129,1399.0,33.2065,87.5346
Carmel,101068,2128.0,39.9667,86.1
Spokane Valley,101060,2681.0,47.6733,117.2394
San Angelo,101004,1681.0,31.4411,100.4505
Vacaville,100670,3449.0,38.3539,121.9728
Clinton,100471,3573.0,42.5903,82.917
Bend,100421,3034.0,44.05,121.3
Woodbridge,100145,4351.0,40.5607,74.2927
