City,1st Most Common Res,2nd Most Common Res,3rd Most Common Res,4th Most Common Res,5th Most Common Res,Cluster Labels,2019estimate,2016 population density,lantitude,longitude
Chula Vista,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,Seafood Restaurant,3,0.032925275917655386,0.1852036102622415,32.6277,117.0152
Cincinnati,Indian Restaurant,American Restaurant,Seafood Restaurant,Mexican Restaurant,Japanese Restaurant,0,0.03645755928191779,0.13094307440835762,39.1402,84.5058
Clarksville,Mexican Restaurant,Japanese Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,1,0.018969589952616207,0.04811314050174117,36.5664,87.3452
Clearwater,American Restaurant,Mexican Restaurant,Breakfast Spot,Italian Restaurant,Chinese Restaurant,0,0.014027655878736453,0.15066448724326628,27.9789,82.7666
Cleveland,American Restaurant,Chinese Restaurant,Pizza Place,Italian Restaurant,Vietnamese Restaurant,0,0.045701974746476984,0.1702082296922749,41.4785,81.6794
Clinton,Italian Restaurant,Chinese Restaurant,Breakfast Spot,American Restaurant,Vietnamese Restaurant,4,0.012051481998465362,0.12074479425769313,42.5903,82.917
Clovis,Mexican Restaurant,Italian Restaurant,Japanese Restaurant,Chinese Restaurant,American Restaurant,1,0.013744334318481502,0.15027361239428613,36.8282,119.6849
College Station,American Restaurant,Japanese Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,0,0.014143407489932909,0.07192097221235165,30.5852,96.2964
Colorado Springs,Mexican Restaurant,Italian Restaurant,American Restaurant,Thai Restaurant,Korean Restaurant,1,0.057362540163709966,0.07828157202757445,38.8673,104.7607
Columbia,American Restaurant,Mexican Restaurant,Chinese Restaurant,Sushi Restaurant,Seafood Restaurant,0,0.015794277360292302,0.029528818136592992,34.0291,80.898
Columbia,American Restaurant,Mexican Restaurant,Chinese Restaurant,Sushi Restaurant,Seafood Restaurant,0,0.014777222529893603,0.059732783739606284,38.951561,92.328638
Columbia,American Restaurant,Mexican Restaurant,Chinese Restaurant,Sushi Restaurant,Seafood Restaurant,0,0.015794277360292302,0.029528818136592992,34.0291,80.898
Columbia,American Restaurant,Mexican Restaurant,Chinese Restaurant,Sushi Restaurant,Seafood Restaurant,0,0.014777222529893603,0.059732783739606284,38.951561,92.328638
Columbus,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,Sushi Restaurant,4,0.10778130310405039,0.13364366427403881,39.9852,82.9848
Columbus,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,Sushi Restaurant,4,0.023482463391004026,0.02622414895885154,32.5102,84.8749
Columbus,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,Sushi Restaurant,1,0.10778130310405039,0.13364366427403881,39.9852,82.9848
Columbus,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,Sushi Restaurant,1,0.023482463391004026,0.02622414895885154,32.5102,84.8749
Concord,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,Latin American Restaurant,Korean Restaurant,1,0.015508916652482597,0.14377087627034327,37.9722,122.0016
Coral Springs,Italian Restaurant,Chinese Restaurant,Pizza Place,Caribbean Restaurant,Mexican Restaurant,4,0.016044372810390343,0.1879752682822827,26.2707,80.2593
Corona,Mexican Restaurant,Sushi Restaurant,American Restaurant,Thai Restaurant,Pizza Place,1,0.020375642166548694,0.14380641034752328,33.861999999999995,117.5655
Costa Mesa,American Restaurant,Japanese Restaurant,Mexican Restaurant,Sushi Restaurant,Pizza Place,0,0.013554693595889174,0.24912941510908962,33.6659,117.9123
Dallas,Mexican Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,Italian Restaurant,1,0.16116138809332148,0.13115627887143771,32.7933,96.7665
Daly City,Chinese Restaurant,Latin American Restaurant,Pizza Place,Mexican Restaurant,Korean Restaurant,3,0.012748270712911175,0.4915784237083363,37.7009,122.465
Davenport,Mexican Restaurant,Chinese Restaurant,Italian Restaurant,Sushi Restaurant,Breakfast Spot,1,0.012185705887510785,0.05173761637410276,41.5541,90.604
Davie,Chinese Restaurant,Thai Restaurant,Sushi Restaurant,Pizza Place,Mexican Restaurant,4,0.01275138940917139,0.0975055077819629,26.0791,80.285
Dayton,American Restaurant,Seafood Restaurant,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,0,0.016841799454156186,0.0833984791414967,39.7774,84.1996
Denton,American Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,Indian Restaurant,0,0.01697782259104404,0.04470186909245967,33.2166,97.1414
Denver,Mexican Restaurant,Chinese Restaurant,Bar,Vietnamese Restaurant,Thai Restaurant,1,0.08722885484951871,0.15443109942434796,39.7619,104.8811
Des Moines,Mexican Restaurant,Italian Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,1,0.02569769733460624,0.07991613957785516,41.5726,93.6102
Detroit,American Restaurant,Bar,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,0,0.08037012207416812,0.16601520858503305,42.383,83.1022
Downey,Mexican Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Latin American Restaurant,1,0.013329547715872856,0.3183497974557601,33.9382,118.1309
Durham,Mexican Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,Seafood Restaurant,1,0.03346517022024113,0.07888565133963471,35.9811,78.9029
Edinburg,Mexican Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.01213532694792269,0.08940373818491934,26.3042,98.1639
El Cajon,Mexican Restaurant,Italian Restaurant,American Restaurant,Thai Restaurant,Pizza Place,1,0.012319809826700046,0.24806339279368914,32.8017,116.9604
El Monte,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Seafood Restaurant,American Restaurant,1,0.013852649038595906,0.42242910951602586,34.0746,118.0291
El Paso,Mexican Restaurant,Korean Restaurant,Japanese Restaurant,Italian Restaurant,Chinese Restaurant,1,0.08177317554169655,0.08830218179233885,31.8484,106.427
Elgin,Mexican Restaurant,Chinese Restaurant,American Restaurant,Thai Restaurant,Italian Restaurant,1,0.013296321605715946,0.10031269987918413,42.0396,88.3217
Elizabeth,Chinese Restaurant,Latin American Restaurant,Mexican Restaurant,Pizza Place,Italian Restaurant,4,0.015499440613845788,0.3654324497192808,40.6664,74.1935
Elk Grove,American Restaurant,Chinese Restaurant,Mexican Restaurant,Sushi Restaurant,Indian Restaurant,0,0.020964236110736268,0.13669959491152014,38.4146,121.385
Escondido,Mexican Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Thai Restaurant,1,0.01818739694058296,0.13900930992822116,33.1331,117.074
Eugene,Chinese Restaurant,Mexican Restaurant,American Restaurant,Sushi Restaurant,Italian Restaurant,1,0.020705984070419202,0.1279937460024163,44.0567,123.1162
Evansville,Mexican Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,Seafood Restaurant,2,0.014151564080151934,0.08354061545021675,37.9877,87.5347
Everett,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Sushi Restaurant,Bar,1,0.01337141021567344,0.11015563925804847,47.9566,122.1914
Fairfield,Chinese Restaurant,Mexican Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,1,0.014050086501838772,0.09349015706062114,38.2593,122.0321
Fargo,Mexican Restaurant,American Restaurant,Italian Restaurant,Indian Restaurant,Chinese Restaurant,1,0.014953188968883448,0.08084002558453557,46.8652,96.829
Fayetteville,Japanese Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,Chinese Restaurant,4,0.025388226705707947,0.043031767464998934,35.0828,78.9735
Fontana,Mexican Restaurant,Latin American Restaurant,Italian Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.0257348817900165,0.1670456968232535,34.109,117.4629
Fort Collins,Chinese Restaurant,Sushi Restaurant,Mexican Restaurant,Pizza Place,Italian Restaurant,3,0.020420623362609493,0.09835832563428328,40.5482,105.0648
Fort Lauderdale,Italian Restaurant,American Restaurant,Sushi Restaurant,Pizza Place,Caribbean Restaurant,4,0.021883291908650508,0.17735057920545805,26.1412,80.1467
Fort Wayne,Mexican Restaurant,American Restaurant,Italian Restaurant,Vietnamese Restaurant,Seafood Restaurant,0,0.03243468100595227,0.07874351503091465,41.0882,85.1439
Fort Worth,Mexican Restaurant,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.109104589917231,0.08229692274891622,32.7815,97.3467
